1.  设计坦克大战的二维int数组，要求26行30列，进行页面的地图设定；

2. 元素

   0 - 边框；

   1 - 空白；

   2 - 草；

   3 - 土墙；

   4 - 铁墙；

   5 - 水；

   6 - 冰；

3. int[][] map = {
	
	// 0 ~ 4行
	{ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 },
	{ 0, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0 },
	{ 0, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 4, 4, 1, 1, 1, 1, 0 },
	{ 0, 2, 2, 2, 2, 2, 2, 1, 1, 3, 3, 1, 1, 3, 3, 3, 3, 1, 3, 3, 1, 1, 1, 4, 4, 1, 1, 1, 1, 0 },
	{ 0, 2, 2, 2, 2, 2, 2, 1, 1, 3, 3, 1, 1, 3, 3, 3, 3, 1, 3, 3, 1, 1, 1, 4, 4, 1, 1, 1, 1, 0 },
	// 5 ~ 9行
	{ 0, 2, 2, 6, 6, 1, 1, 1, 1, 3, 3, 1, 1, 1, 4, 4, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0 },
	{ 0, 2, 2, 6, 6, 1, 4, 4, 1, 3, 3, 1, 1, 1, 4, 4, 1, 1, 3, 3, 1, 1, 1, 6, 6, 6, 6, 1, 1, 0 },
	{ 0, 2, 2, 6, 6, 1, 4, 4, 1, 1, 1, 1, 1, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1, 6, 6, 6, 6, 1, 1, 0 },
	{ 0, 1, 1, 5, 5, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 5, 5, 2, 2, 2, 2, 2, 2, 3, 3, 0 },
	{ 0, 1, 1, 5, 5, 1, 1, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 1, 1, 5, 5, 2, 2, 2, 2, 2, 2, 3, 3, 0 },
	// 10 ~ 14行
	{ 0, 1, 1, 5, 5, 1, 1, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 0 },
	{ 0, 1, 1, 5, 5, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 0 },
	{ 0, 1, 1, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 1, 1, 2, 2, 2, 1, 1, 0 },
	{ 0, 1, 1, 3, 3, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 1, 1, 2, 2, 2, 1, 1, 0 },
	{ 0, 1, 1, 3, 3, 1, 1, 2, 2, 2, 1, 4, 4, 4, 4, 4, 4, 4, 1, 3, 3, 3, 1, 1, 2, 2, 2, 1, 1, 0 },
	// 15 ~ 19 行
	{ 0, 1, 1, 3, 3, 1, 1, 2, 2, 2, 1, 4, 4, 4, 4, 4, 4, 4, 1, 3, 3, 3, 1, 1, 2, 2, 2, 1, 1, 0 },
	{ 0, 4, 3, 3, 4, 4, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 0 },
	{ 0, 4, 3, 3, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 0 },
	{ 0, 1, 3, 3, 2, 2, 1, 3, 3, 1, 1, 1, 1, 1, 4, 1, 1, 1, 3, 3, 3, 2, 2, 3, 3, 3, 4, 4, 4, 0 },
	{ 0, 1, 3, 3, 2, 2, 1, 3, 3, 3, 1, 3, 3, 1, 1, 1, 1, 1, 3, 3, 3, 2, 2, 3, 3, 3, 4, 4, 4, 0 },
	// 20 ~ 24行
	{ 0, 1, 3, 3, 2, 2, 1, 3, 3, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 0 },
	{ 0, 1, 3, 3, 2, 2, 1, 3, 3, 1, 1, 1, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 0 },
	{ 0, 1, 3, 3, 2, 2, 1, 3, 3, 1, 1, 1, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 0 },
	{ 0, 1, 3, 3, 4, 4, 1, 1, 1, 1, 1, 1, 3, 3, 8, 8, 3, 3, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 0 },
	{ 0, 1, 3, 3, 4, 4, 1, 1, 1, 1, 1, 9, 3, 3, 8, 8, 3, 3, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 0 },
	// 25
	{ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 }
}
